Borough,LocationType,day,time,turnoutStatus
Queens,Playground,Fri,20:30,more than avg
Bronx,Playground,Sat,19:30,less than avg
Bronx,Park,Sat,19:30,less than avg
Manhattan,Park,Sat,19:30,less than avg
Queens,Playground,Sat,20:30,less than avg
Queens,Park,Sun,20:30,less than avg
Queens,Park,Mon,20:30,less than avg
Manhattan,Recreation Center,Wed,19:30,less than avg
Manhattan,Playground,Thu,19:30,less than avg
Bronx,Other,Thu,19:15,more than avg
Queens,Park,Fri,20:00,more than avg
Bronx,Park,Fri,19:00,more than avg
Manhattan,Playground,Sat,19:30,less than avg
Queens,Playground,Sat,20:00,more than avg
Manhattan,Playground,Wed,19:30,less than avg
Manhattan,Playground,Thu,19:30,less than avg
Bronx,Playground,Thu,19:00,less than avg
Manhattan,Playground,Fri,19:30,less than avg
Manhattan,Playground,Sat,19:30,more than avg
